name,type,coef_pred,ci_pred,p_pred,coef_imd,ci_imd,p_imd,coef_int,ci_int,p_int,n_practices,n_obs,error
aqrean_daqi_overall_daqipair1,daqi_pair1,-1.001710487797003,"(np.float64(-1.3742608828901215), np.float64(-0.6277528150689826))",1.6625827031975542e-07,,"(nan, nan)",,,"(nan, nan)",,9613,852877,
aqrean_daqi_overall_daqipair2,daqi_pair2,-0.4735405283638028,"(np.float64(-0.6414442169028756), np.float64(-0.30535310332711063))",3.589452236560207e-08,,"(nan, nan)",,,"(nan, nan)",,9613,852877,
aqrean_nitrogen_monoxide_high_vs_not,binary_simple,0.7029652022791932,"(np.float64(0.46952657780465756), np.float64(0.9369462160059738))",3.299355254564537e-09,,"(nan, nan)",,,"(nan, nan)",,9629,861815,
aqrean_nitrogen_dioxide_high_vs_not,binary_simple,-1.2733437946956583,"(np.float64(-1.5885141099423294), np.float64(-0.9571641223936167))",3.984831115434653e-15,,"(nan, nan)",,,"(nan, nan)",,9629,861815,
aqrean_daqi_nitrogen_dioxide_daqipair1,daqi_pair1,,"(nan, nan)",,,"(nan, nan)",,,"(nan, nan)",,9613,852877,Singular matrix
aqrean_daqi_nitrogen_dioxide_daqipair2,daqi_pair2,,"(nan, nan)",,,"(nan, nan)",,,"(nan, nan)",,9613,852877,Singular matrix
aqrean_nox_expressed_as_nitrogen_dioxide_high_vs_not,binary_simple,0.5143268736016227,"(np.float64(0.2724691959198111), np.float64(0.7567679131645244))",2.997342822576741e-05,,"(nan, nan)",,,"(nan, nan)",,9629,861815,
aqrean_ozone_high_vs_not,binary_simple,-1.675873709603648,"(np.float64(-1.9153832862383147), np.float64(-1.435779282467231))",5.1249064512780915e-42,,"(nan, nan)",,,"(nan, nan)",,9629,861815,
aqrean_daqi_ozone_daqipair1,daqi_pair1,0.9721846693619529,"(np.float64(-1.4841588443184839), np.float64(3.489773393826967))",0.4413216116776113,,"(nan, nan)",,,"(nan, nan)",,9613,852877,
aqrean_daqi_ozone_daqipair2,daqi_pair2,-1.3406340286070129,"(np.float64(-1.5709986818692845), np.float64(-1.1097302265901776))",1.0909227479739035e-29,,"(nan, nan)",,,"(nan, nan)",,9613,852877,
aqrean_pm2p5_high_vs_not,binary_simple,-0.8040263890762844,"(np.float64(-1.0643969898821437), np.float64(-0.542970566290657))",1.7433932990879917e-09,,"(nan, nan)",,,"(nan, nan)",,9629,861815,
aqrean_daqi_pm2p5_daqipair1,daqi_pair1,-0.995750908415638,"(np.float64(-1.3738680295036998), np.float64(-0.6161841455906147))",2.961794382488627e-07,,"(nan, nan)",,,"(nan, nan)",,9613,852877,
aqrean_daqi_pm2p5_daqipair2,daqi_pair2,-0.5198311324041915,"(np.float64(-0.7236177646907982), np.float64(-0.3156261831869789))",6.310411249404806e-07,,"(nan, nan)",,,"(nan, nan)",,9613,852877,
aqrean_pm10_high_vs_not,binary_simple,-0.3192891425737199,"(np.float64(-0.5700249577876404), np.float64(-0.06792103866612997))",0.01282071435825225,,"(nan, nan)",,,"(nan, nan)",,9629,861815,
aqrean_daqi_pm10_daqipair1,daqi_pair1,-1.4906696602561942,"(np.float64(-2.398143382230822), np.float64(-0.5747585111196996))",0.0014692249391441653,,"(nan, nan)",,,"(nan, nan)",,9613,852877,
aqrean_daqi_pm10_daqipair2,daqi_pair2,-0.9608335205327556,"(np.float64(-1.2306491567852351), np.float64(-0.6902808086900802))",4.020113904005314e-12,,"(nan, nan)",,,"(nan, nan)",,9613,852877,
aqrean_sulfur_dioxide_high_vs_not,binary_simple,-1.779028295249252,"(np.float64(-1.9896058531770344), np.float64(-1.5679983066554382))",2.158248358408115e-60,,"(nan, nan)",,,"(nan, nan)",,9629,861815,
aqrean_daqi_sulfur_dioxide_daqipair1,daqi_pair1,,"(nan, nan)",,,"(nan, nan)",,,"(nan, nan)",,9613,852877,Singular matrix
aqrean_daqi_sulfur_dioxide_daqipair2,daqi_pair2,8.26995977295082,"(np.float64(-15.707831475544886), np.float64(39.06848518003725))",0.5338808850289243,,"(nan, nan)",,,"(nan, nan)",,9613,852877,
hydro_rain_values,continuous,-0.10742745495679884,"(np.float64(-0.17482007227787033), np.float64(-0.03998934044883162))",0.00179898194691082,,"(nan, nan)",,,"(nan, nan)",,10347,1316201,
hydro_rain_values_x_imd,continuous_interaction,-0.10543320385348887,"(np.float64(-0.17283470683171487), np.float64(-0.0379861925951297))",0.002189582653408479,-1.282917410034956,"(np.float64(-1.9290670192812387), np.float64(-0.6325105830296551))",0.00011633045806781117,-0.05432498021122889,"(np.float64(-0.11904190184984786), np.float64(0.010433874144366584))",0.10012197887389543,10347,1316201,
met_rain_values,continuous,-0.07608061664248211,"(np.float64(-0.14585552212820208), np.float64(-0.006256954668382164))",0.032717651224833215,,"(nan, nan)",,,"(nan, nan)",,8728,1161157,
met_rain_values_x_imd,continuous_interaction,-0.07030102866909527,"(np.float64(-0.1403689506944028), np.float64(-0.00018394249561293208))",0.049402216573283746,-1.1418452597451,"(np.float64(-1.7826758171661239), np.float64(-0.49683352749834153))",0.0005381256508836413,-0.04884622104998071,"(np.float64(-0.11777067348517356), np.float64(0.020125793200520548))",0.16507827875642112,8728,1161157,
met_tmax_values,continuous,2.037720201945059,"(np.float64(1.8100875138514327), np.float64(2.2658618439346467))",3.977619392352745e-70,,"(nan, nan)",,,"(nan, nan)",,8728,1161157,
met_tmax_values_x_imd,continuous_interaction,2.0153416188514184,"(np.float64(1.7874497596514605), np.float64(2.2437437049959597))",1.80923420265611e-68,-1.1590296392547383,"(np.float64(-1.7996412755188818), np.float64(-0.5142389625690691))",0.0004414007688786011,0.1163046316142502,"(np.float64(0.052911264967758775), np.float64(0.17973816419780686))",0.0003221576025414402,8728,1161157,
met_tmin_values,continuous,1.6182552569173003,"(np.float64(1.4055045462561644), np.float64(1.8314523226860002))",6.089870744053914e-51,,"(nan, nan)",,,"(nan, nan)",,8728,1161157,
met_tmin_values_x_imd,continuous_interaction,1.604489751075766,"(np.float64(1.3915605734964753), np.float64(1.8178660944192293))",5.069005358660873e-50,-1.1699392188177615,"(np.float64(-1.810501204382975), np.float64(-0.5251983784627323))",0.00038940522899665796,0.09731535748251918,"(np.float64(0.03307840850881316), np.float64(0.1615935566674498))",0.0029806551364170556,8728,1161157,
aqrean_carbon_monoxide_values,continuous,1.3504948544966089,"(np.float64(1.2492891412310358), np.float64(1.4518017299183228))",1.2403995685073232e-152,,"(nan, nan)",,,"(nan, nan)",,9629,861815,
aqrean_carbon_monoxide_values_x_imd,continuous_interaction,1.3188860096423838,"(np.float64(1.2155756146217334), np.float64(1.42230185323311))",7.950884348626973e-140,0.13531561533639547,"(np.float64(-1.194749274366047), np.float64(1.4832851467236452))",0.8428840375230162,-0.132368092824231,"(np.float64(-0.2195531570764575), np.float64(-0.04510684896298356))",0.002954500767437068,9629,861815,
aqrean_daqi_overall_values,continuous,-0.36939926512868926,"(np.float64(-0.4584943769030181), np.float64(-0.28022440833853635))",5.163098723971372e-16,,"(nan, nan)",,,"(nan, nan)",,9613,852877,
aqrean_daqi_overall_values_x_imd,continuous_interaction,-0.36244897732711223,"(np.float64(-0.4516438098327913), np.float64(-0.2731742266947057))",1.919622556703646e-15,-0.03402514274014612,"(np.float64(-1.366022940437317), np.float64(1.3159605551305908))",0.960342786285708,0.1260617640431283,"(np.float64(0.052942729197091865), np.float64(0.1992342345314313))",0.0007248740027727543,9613,852877,
aqrean_nitrogen_monoxide_values,continuous,0.3114632303154341,"(np.float64(0.1959892181724765), np.float64(0.42707032410751467))",1.2118116102224802e-07,,"(nan, nan)",,,"(nan, nan)",,9629,861815,
aqrean_nitrogen_monoxide_values_x_imd,continuous_interaction,0.24073759457612365,"(np.float64(0.12264360526321738), np.float64(0.35897087496055136))",6.391100810953718e-05,0.006130371889367936,"(np.float64(-1.3224416760487023), np.float64(1.3525900096355237))",0.9928320254509293,-0.25067336411999097,"(np.float64(-0.3396692032254456), np.float64(-0.16159805247701886))",3.563577176045447e-08,9629,861815,
aqrean_nitrogen_dioxide_values,continuous,0.569526273105625,"(np.float64(0.4280968069028779), np.float64(0.7111549096057823))",2.5842506346575275e-15,,"(nan, nan)",,,"(nan, nan)",,9629,861815,
aqrean_nitrogen_dioxide_values_x_imd,continuous_interaction,0.5293956408410905,"(np.float64(0.3875678929305959), np.float64(0.6714237632650999))",2.3007250181664754e-13,-0.018402463192956908,"(np.float64(-1.346578339422444), np.float64(1.3276547102941905))",0.9784813423571739,-0.3648449812267529,"(np.float64(-0.46827752343937545), np.float64(-0.26130495277234544))",5.29960948778204e-12,9629,861815,
aqrean_daqi_nitrogen_dioxide_values,continuous,-0.11133679803821961,"(np.float64(-0.21182581232445097), np.float64(-0.0107465889754077))",0.030064406369913144,,"(nan, nan)",,,"(nan, nan)",,9613,852877,
aqrean_daqi_nitrogen_dioxide_values_x_imd,continuous_interaction,-0.149929667446691,"(np.float64(-0.2519483404948897), np.float64(-0.0478066534166155))",0.004017426292714619,-0.04257720737907977,"(np.float64(-1.3746130689835878), np.float64(1.3074491492877316))",0.950390264948946,-0.19423973494603342,"(np.float64(-0.28344416597131383), np.float64(-0.10495550342576321))",2.028736935912961e-05,9613,852877,
aqrean_nox_expressed_as_nitrogen_dioxide_values,continuous,0.36750029543584084,"(np.float64(0.24370382949210345), np.float64(0.4914496444474725))",5.6975411222422275e-09,,"(nan, nan)",,,"(nan, nan)",,9629,861815,
aqrean_nox_expressed_as_nitrogen_dioxide_values_x_imd,continuous_interaction,0.291766188188336,"(np.float64(0.16540012238459578), np.float64(0.4182916741368503))",5.923716098538615e-06,0.010496832644912857,"(np.float64(-1.3181383773944066), np.float64(1.3570205532203339))",0.9877271494724964,-0.27218550264700436,"(np.float64(-0.3649167450833657), np.float64(-0.17936795443318498))",9.33470196548424e-09,9629,861815,
aqrean_ozone_values,continuous,-0.5385825287245294,"(np.float64(-0.6554153864426482), np.float64(-0.42161227130117496))",2.1472106788662677e-19,,"(nan, nan)",,,"(nan, nan)",,9629,861815,
aqrean_ozone_values_x_imd,continuous_interaction,-0.5730281200924559,"(np.float64(-0.6900244360878327), np.float64(-0.4558939716398758))",1.107126516942704e-21,0.030214193185140736,"(np.float64(-1.298689134865405), np.float64(1.377009725906797))",0.9646874883902383,0.37172839546375513,"(np.float64(0.3000302163018942), np.float64(0.44347782714151407))",2.5141475277693378e-24,9629,861815,
aqrean_daqi_ozone_values,continuous,-0.651523654699504,"(np.float64(-0.7471965215971377), np.float64(-0.5557585657472774))",2.4030717664799607e-40,,"(nan, nan)",,,"(nan, nan)",,9613,852877,
aqrean_daqi_ozone_values_x_imd,continuous_interaction,-0.6786776598210031,"(np.float64(-0.7745299224887869), np.float64(-0.5827328034244905))",1.837419589574897e-43,0.17781851303577678,"(np.float64(-1.1573316736789518), np.float64(1.531003684552834))",0.7952342634142692,0.3326152106823743,"(np.float64(0.2605877929049427), np.float64(0.4046943731086605))",1.2726844931432584e-19,9613,852877,
aqrean_pm2p5_values,continuous,0.2800715975443957,"(np.float64(0.18811833350527163), np.float64(0.3721092568482298))",2.297005100268078e-09,,"(nan, nan)",,,"(nan, nan)",,9629,861815,
aqrean_pm2p5_values_x_imd,continuous_interaction,0.2802703054602951,"(np.float64(0.1883114349688908), np.float64(0.3723135813453071))",2.2429541191912826e-09,-0.0962020286630838,"(np.float64(-1.4232534387511153), np.float64(1.248714298927811))",0.8878145490833823,0.013651226444366671,"(np.float64(-0.0594808454234208), np.float64(0.08683681314256564))",0.7145526636988542,9629,861815,
aqrean_daqi_pm2p5_values,continuous,-0.0007861369846984267,"(np.float64(-0.10186597716258516), np.float64(0.10039597871804862))",0.9878441945781979,,"(nan, nan)",,,"(nan, nan)",,9613,852877,
aqrean_daqi_pm2p5_values_x_imd,continuous_interaction,-0.004080399455763661,"(np.float64(-0.10524237285219895), np.float64(0.09718401920510988))",0.9370213719327887,-0.09305187770791701,"(np.float64(-1.424259720944987), np.float64(1.2561331505533735))",0.8918022865767574,-0.058504036385709224,"(np.float64(-0.1326404651450841), np.float64(0.015687427473154436))",0.12218663420531418,9613,852877,
aqrean_pm10_values,continuous,0.3829434459162506,"(np.float64(0.29191468956475397), np.float64(0.47405482342925964))",1.490337462694569e-16,,"(nan, nan)",,,"(nan, nan)",,9629,861815,
aqrean_pm10_values_x_imd,continuous_interaction,0.3832995133248973,"(np.float64(0.29225647419053313), np.float64(0.4744251992683246))",1.4125858415792957e-16,-0.09732950732872503,"(np.float64(-1.4243284777142207), np.float64(1.2475331635034559))",0.8865047581710763,0.015818822584434677,"(np.float64(-0.05809749573544298), np.float64(0.08978980888618704))",0.6749751150925394,9629,861815,
aqrean_daqi_pm10_values,continuous,0.020101714522668956,"(np.float64(-0.07680842982213942), np.float64(0.11710584681892122))",0.6844546200105214,,"(nan, nan)",,,"(nan, nan)",,9613,852877,
aqrean_daqi_pm10_values_x_imd,continuous_interaction,0.018038927535490856,"(np.float64(-0.07901003738567391), np.float64(0.1151821519470353))",0.7157360067464393,-0.09434526390833531,"(np.float64(-1.425556008853479), np.float64(1.2548429808400652))",0.890308778866972,-0.03036259617932302,"(np.float64(-0.10580575193481767), np.float64(0.04513753655859265))",0.4304726798629277,9613,852877,
aqrean_sulfur_dioxide_values,continuous,-0.34769073197962186,"(np.float64(-0.4451185355348719), np.float64(-0.2501675822518368))",2.9741863011853484e-12,,"(nan, nan)",,,"(nan, nan)",,9629,861815,
aqrean_sulfur_dioxide_values_x_imd,continuous_interaction,-0.34943883818128185,"(np.float64(-0.4478405535611074), np.float64(-0.25093985823538834))",3.797707879755869e-12,-0.16898316858386941,"(np.float64(-1.4952885866518217), np.float64(1.1751801370587733))",0.8042545473303235,-0.010271094475511333,"(np.float64(-0.10303026262024062), np.float64(0.08257420504333979))",0.8282767061798109,9629,861815,
aqrean_daqi_sulfur_dioxide_values,continuous,-0.05630636608751072,"(np.float64(-0.12940163956376427), np.float64(0.016842405806616334))",0.1313468369833875,,"(nan, nan)",,,"(nan, nan)",,9613,852877,
aqrean_daqi_sulfur_dioxide_values_x_imd,continuous_interaction,-0.0157769527873719,"(np.float64(-0.09533220411064303), np.float64(0.06384164930972602))",0.6976432459007027,-0.0895139902154285,"(np.float64(-1.420760488015238), np.float64(1.259710098471456))",0.8958933070803997,0.14995717658057295,"(np.float64(0.034004690676892046), np.float64(0.26604406657042556))",0.01123890102185405,9613,852877,
